P,#,Repeat_no,Control,Date,Age,Induction_time,Lose_TR_time,RR_beats,RR_breaths,SL,TT_movement,TT_Recovery,Recovery
1,1,1,N,15/07/2020,21,00:00:21,00:00:44,140,0,5.5,00:01:09,00:01:29,Y
1,2,1,N,15/07/2020,21,00:00:09,00:01:06,94,0,5.5,00:01:14,00:01:27,Y
1,3,1,N,15/07/2020,21,00:00:16,00:00:30,82,78,6,00:01:13,00:01:42,Y
1,4,1,N,15/07/2020,21,00:00:19,00:00:29,140,144,5,00:01:00,00:01:15,Y
1,5,1,N,15/07/2020,21,00:00:45,00:01:05,122,64,5,00:01:11,00:01:22,Y
1,6,1,N,15/07/2020,21,00:00:18,00:01:02,140,40,5,00:01:10,00:01:18,Y
1,7,1,N,15/07/2020,21,00:00:27,00:00:50,122,84,5.5,00:01:12,00:01:29,Y
1,8,1,N,15/07/2020,21,00:00:52,00:00:56,68,62,6,00:01:12,00:01:28,Y
1,9,1,N,15/07/2020,21,00:00:33,00:01:01,96,52,5.5,00:01:14,00:01:21,Y
1,10,1,N,15/07/2020,21,00:00:25,00:01:02,102,20,5.5,00:01:49,00:02:01,Y
4,1,1,N,15/07/2020,21,00:00:07,00:00:31,0,0,5.5,00:01:53,00:02:35,Y
4,2,1,N,15/07/2020,21,00:00:30,00:00:36,0,0,5.5,00:01:44,00:02:12,Y
4,3,1,N,15/07/2020,21,00:00:35,00:00:47,0,0,5.5,00:02:33,00:02:40,Y
4,4,1,N,15/07/2020,21,00:00:25,00:00:34,0,0,5,00:02:24,00:02:26,Y
4,5,1,N,15/07/2020,21,00:00:33,00:00:26,0,0,5.5,00:02:05,00:02:10,Y
4,6,1,N,15/07/2020,21,00:00:20,00:00:35,0,0,6,00:01:47,00:02:31,Y
4,7,1,N,15/07/2020,21,00:00:30,00:00:35,0,0,5.5,00:01:56,00:02:08,Y
4,8,1,N,15/07/2020,21,00:00:20,00:00:35,0,0,5.5,00:01:25,00:01:39,Y
4,9,1,N,15/07/2020,21,00:00:18,00:00:37,0,0,5,00:01:50,00:02:20,Y
